id	measurementID	measurementType	measurementValue	measurementUnit	measurementMethod	measurementRemarks
IV2013100816493444	INBO:NICHE:MEAS:P:00015587	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101009010743	INBO:NICHE:MEAS:P:00015596	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101009010743	INBO:NICHE:MEAS:P:00015597	coverShrubsInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101009010743	INBO:NICHE:MEAS:P:00015598	coverTreesInPercentage	40	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101009010743	INBO:NICHE:MEAS:P:00015599	coverMossesInPercentage	5	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101009010743	INBO:NICHE:MEAS:P:00015600	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101009450362	INBO:NICHE:MEAS:P:00015604	totalCoverageInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101009450362	INBO:NICHE:MEAS:P:00015605	coverHerbsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101009564221	INBO:NICHE:MEAS:P:00015606	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101009564221	INBO:NICHE:MEAS:P:00015607	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101010054825	INBO:NICHE:MEAS:P:00015608	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101010054825	INBO:NICHE:MEAS:P:00015609	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101010161629	INBO:NICHE:MEAS:P:00015610	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101010161629	INBO:NICHE:MEAS:P:00015611	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101010453454	INBO:NICHE:MEAS:P:00015612	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101010453454	INBO:NICHE:MEAS:P:00015613	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101010542592	INBO:NICHE:MEAS:P:00015614	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101010542592	INBO:NICHE:MEAS:P:00015615	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101011031596	INBO:NICHE:MEAS:P:00015616	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101011031596	INBO:NICHE:MEAS:P:00015617	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101410023804	INBO:NICHE:MEAS:P:00015673	coverTreesInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101410023804	INBO:NICHE:MEAS:P:00015674	coverHerbsInPercentage	75	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101410213378	INBO:NICHE:MEAS:P:00015676	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101410385692	INBO:NICHE:MEAS:P:00015677	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101410555336	INBO:NICHE:MEAS:P:00015679	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101411081883	INBO:NICHE:MEAS:P:00015682	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101511530212	INBO:NICHE:MEAS:P:00015803	coverMossesInPercentage	30	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101513264446	INBO:NICHE:MEAS:P:00015805	coverMossesInPercentage	10	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101709010364	INBO:NICHE:MEAS:P:00015871	totalCoverageInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101709010364	INBO:NICHE:MEAS:P:00015872	coverMossesInPercentage	30	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101709010364	INBO:NICHE:MEAS:P:00015873	coverHerbsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101710253687	INBO:NICHE:MEAS:P:00015878	totalCoverageInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101710253687	INBO:NICHE:MEAS:P:00015879	coverHerbsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101711333547	INBO:NICHE:MEAS:P:00015885	totalCoverageInPercentage	30	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013101711442296	INBO:NICHE:MEAS:P:00015890	totalCoverageInPercentage	10	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102109454592	INBO:NICHE:MEAS:P:00015892	totalCoverageInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102110140735	INBO:NICHE:MEAS:P:00015900	coverMossesInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102111354714	INBO:NICHE:MEAS:P:00015922	totalCoverageInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102111453365	INBO:NICHE:MEAS:P:00015925	totalCoverageInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102113382417	INBO:NICHE:MEAS:P:00015934	totalCoverageInPercentage	40	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102113444920	INBO:NICHE:MEAS:P:00015942	totalCoverageInPercentage	50	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102113532960	INBO:NICHE:MEAS:P:00015947	totalCoverageInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102116183926	INBO:NICHE:MEAS:P:00015989	coverShrubsInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102116183926	INBO:NICHE:MEAS:P:00015990	coverTreesInPercentage	30	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102116183926	INBO:NICHE:MEAS:P:00015991	coverHerbsInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102410472240	INBO:NICHE:MEAS:P:00016049	coverShrubsInPercentage	1	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102410472240	INBO:NICHE:MEAS:P:00016050	coverTreesInPercentage	50	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102410472240	INBO:NICHE:MEAS:P:00016051	coverMossesInPercentage	15	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102410472240	INBO:NICHE:MEAS:P:00016052	coverHerbsInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102410572754	INBO:NICHE:MEAS:P:00016056	coverShrubsInPercentage	30	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102410572754	INBO:NICHE:MEAS:P:00016057	coverTreesInPercentage	30	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102410572754	INBO:NICHE:MEAS:P:00016058	coverMossesInPercentage	15	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102410572754	INBO:NICHE:MEAS:P:00016059	coverHerbsInPercentage	27	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102412131421	INBO:NICHE:MEAS:P:00016072	coverShrubsInPercentage	20	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102412131421	INBO:NICHE:MEAS:P:00016073	coverTreesInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102412131421	INBO:NICHE:MEAS:P:00016074	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102809125865	INBO:NICHE:MEAS:P:00016118	coverTreesInPercentage	75	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102809125865	INBO:NICHE:MEAS:P:00016120	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102809484417	INBO:NICHE:MEAS:P:00016121	coverShrubsInPercentage	30	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102809484417	INBO:NICHE:MEAS:P:00016122	coverTreesInPercentage	40	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102809484417	INBO:NICHE:MEAS:P:00016123	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102810150980	INBO:NICHE:MEAS:P:00016124	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102811024360	INBO:NICHE:MEAS:P:00016125	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102811255763	INBO:NICHE:MEAS:P:00016126	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102811464855	INBO:NICHE:MEAS:P:00016127	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102812103270	INBO:NICHE:MEAS:P:00016128	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102813360788	INBO:NICHE:MEAS:P:00016129	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102814143141	INBO:NICHE:MEAS:P:00016130	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102815083824	INBO:NICHE:MEAS:P:00016131	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102815312541	INBO:NICHE:MEAS:P:00016132	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102816050310	INBO:NICHE:MEAS:P:00016133	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102816150907	INBO:NICHE:MEAS:P:00016134	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102909052321	INBO:NICHE:MEAS:P:00016135	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102909233512	INBO:NICHE:MEAS:P:00016136	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102909483689	INBO:NICHE:MEAS:P:00016137	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102909585312	INBO:NICHE:MEAS:P:00016138	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102910281882	INBO:NICHE:MEAS:P:00016139	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102910470175	INBO:NICHE:MEAS:P:00016140	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102911042224	INBO:NICHE:MEAS:P:00016141	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102911211622	INBO:NICHE:MEAS:P:00016142	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102911410549	INBO:NICHE:MEAS:P:00016143	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102911514311	INBO:NICHE:MEAS:P:00016144	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102913203391	INBO:NICHE:MEAS:P:00016145	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102913280100	INBO:NICHE:MEAS:P:00016147	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102913365901	INBO:NICHE:MEAS:P:00016148	totalCoverageInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102913365901	INBO:NICHE:MEAS:P:00016149	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102914053082	INBO:NICHE:MEAS:P:00016150	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102914190666	INBO:NICHE:MEAS:P:00016151	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102914314038	INBO:NICHE:MEAS:P:00016152	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102914314038	INBO:NICHE:MEAS:P:00016155	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102914523492	INBO:NICHE:MEAS:P:00016156	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102915042909	INBO:NICHE:MEAS:P:00016157	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102915042909	INBO:NICHE:MEAS:P:00016160	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102915302443	INBO:NICHE:MEAS:P:00016161	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102915302443	INBO:NICHE:MEAS:P:00016163	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102915413688	INBO:NICHE:MEAS:P:00016164	totalCoverageInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102915413688	INBO:NICHE:MEAS:P:00016165	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102915503675	INBO:NICHE:MEAS:P:00016166	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102915583087	INBO:NICHE:MEAS:P:00016167	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102916082228	INBO:NICHE:MEAS:P:00016168	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102916200185	INBO:NICHE:MEAS:P:00016169	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013102916314739	INBO:NICHE:MEAS:P:00016170	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013103109102260	INBO:NICHE:MEAS:P:00016182	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013103109270355	INBO:NICHE:MEAS:P:00016183	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013103109364819	INBO:NICHE:MEAS:P:00016186	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013103110212049	INBO:NICHE:MEAS:P:00016187	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013103110575536	INBO:NICHE:MEAS:P:00016188	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013103111162119	INBO:NICHE:MEAS:P:00016195	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013103111285463	INBO:NICHE:MEAS:P:00016197	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013103111453191	INBO:NICHE:MEAS:P:00016198	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013103111563289	INBO:NICHE:MEAS:P:00016199	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013103112040289	INBO:NICHE:MEAS:P:00016200	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013103112142989	INBO:NICHE:MEAS:P:00016203	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110409073757	INBO:NICHE:MEAS:P:00016204	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110409300447	INBO:NICHE:MEAS:P:00016205	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110409460009	INBO:NICHE:MEAS:P:00016207	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110410055913	INBO:NICHE:MEAS:P:00016208	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110410511638	INBO:NICHE:MEAS:P:00016210	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110411085141	INBO:NICHE:MEAS:P:00016212	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110411240344	INBO:NICHE:MEAS:P:00016216	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110411413780	INBO:NICHE:MEAS:P:00016217	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110411524063	INBO:NICHE:MEAS:P:00016220	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110413185010	INBO:NICHE:MEAS:P:00016223	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110413320895	INBO:NICHE:MEAS:P:00016224	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110413421914	INBO:NICHE:MEAS:P:00016227	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110413581021	INBO:NICHE:MEAS:P:00016230	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110414190807	INBO:NICHE:MEAS:P:00016231	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110414311566	INBO:NICHE:MEAS:P:00016232	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110414500368	INBO:NICHE:MEAS:P:00016233	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110414562414	INBO:NICHE:MEAS:P:00016234	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110415181787	INBO:NICHE:MEAS:P:00016235	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110415314881	INBO:NICHE:MEAS:P:00016237	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110415434598	INBO:NICHE:MEAS:P:00016238	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110415511874	INBO:NICHE:MEAS:P:00016241	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110416032153	INBO:NICHE:MEAS:P:00016247	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110416174258	INBO:NICHE:MEAS:P:00016248	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110416251861	INBO:NICHE:MEAS:P:00016249	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110416364163	INBO:NICHE:MEAS:P:00016250	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110509005412	INBO:NICHE:MEAS:P:00016251	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110509171328	INBO:NICHE:MEAS:P:00016254	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110509313844	INBO:NICHE:MEAS:P:00016256	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110509384261	INBO:NICHE:MEAS:P:00016259	coverTreesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110509384261	INBO:NICHE:MEAS:P:00016261	coverHerbsInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110509565597	INBO:NICHE:MEAS:P:00016263	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110513533414	INBO:NICHE:MEAS:P:00016266	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110514151895	INBO:NICHE:MEAS:P:00016268	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110514555765	INBO:NICHE:MEAS:P:00016269	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110515155959	INBO:NICHE:MEAS:P:00016274	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110515263734	INBO:NICHE:MEAS:P:00016275	coverTreesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110515263734	INBO:NICHE:MEAS:P:00016277	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110515414320	INBO:NICHE:MEAS:P:00016281	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110515553649	INBO:NICHE:MEAS:P:00016284	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110516192107	INBO:NICHE:MEAS:P:00016285	totalCoverageInPercentage	50	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110516192107	INBO:NICHE:MEAS:P:00016286	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110516342732	INBO:NICHE:MEAS:P:00016287	totalCoverageInPercentage	30	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110516342732	INBO:NICHE:MEAS:P:00016288	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110709053488	INBO:NICHE:MEAS:P:00016290	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110709233273	INBO:NICHE:MEAS:P:00016291	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110709233273	INBO:NICHE:MEAS:P:00016292	totalCoverageInPercentage	40	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110709321178	INBO:NICHE:MEAS:P:00016293	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110709392032	INBO:NICHE:MEAS:P:00016294	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110709511760	INBO:NICHE:MEAS:P:00016295	coverShrubsInPercentage	50	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110709511760	INBO:NICHE:MEAS:P:00016296	coverTreesInPercentage	40	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110709511760	INBO:NICHE:MEAS:P:00016297	coverHerbsInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110710004791	INBO:NICHE:MEAS:P:00016298	totalCoverageInPercentage	20	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110710004791	INBO:NICHE:MEAS:P:00016299	coverHerbsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110710124942	INBO:NICHE:MEAS:P:00016300	totalCoverageInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110710124942	INBO:NICHE:MEAS:P:00016301	coverHerbsInPercentage	60	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110710255718	INBO:NICHE:MEAS:P:00016302	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110710505011	INBO:NICHE:MEAS:P:00016303	coverShrubsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110710505011	INBO:NICHE:MEAS:P:00016304	coverTreesInPercentage	35	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110710505011	INBO:NICHE:MEAS:P:00016305	coverHerbsInPercentage	20	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110711065784	INBO:NICHE:MEAS:P:00016306	coverShrubsInPercentage	30	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110711065784	INBO:NICHE:MEAS:P:00016307	coverTreesInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110711065784	INBO:NICHE:MEAS:P:00016308	coverHerbsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110711164969	INBO:NICHE:MEAS:P:00016310	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110711311043	INBO:NICHE:MEAS:P:00016311	coverHerbsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110711420287	INBO:NICHE:MEAS:P:00016312	coverShrubsInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110711420287	INBO:NICHE:MEAS:P:00016313	coverTreesInPercentage	30	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110711420287	INBO:NICHE:MEAS:P:00016314	coverHerbsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013110711560527	INBO:NICHE:MEAS:P:00016316	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111209143961	INBO:NICHE:MEAS:P:00016317	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111209405067	INBO:NICHE:MEAS:P:00016318	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111209521442	INBO:NICHE:MEAS:P:00016319	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111210105135	INBO:NICHE:MEAS:P:00016320	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111210293625	INBO:NICHE:MEAS:P:00016325	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111210550714	INBO:NICHE:MEAS:P:00016331	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111211260412	INBO:NICHE:MEAS:P:00016348	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111211372786	INBO:NICHE:MEAS:P:00016349	coverHerbsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111211491881	INBO:NICHE:MEAS:P:00016350	coverHerbsInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111212012352	INBO:NICHE:MEAS:P:00016351	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111213541376	INBO:NICHE:MEAS:P:00016393	coverShrubsInPercentage	2	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111213541376	INBO:NICHE:MEAS:P:00016394	coverTreesInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111213541376	INBO:NICHE:MEAS:P:00016395	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111214085586	INBO:NICHE:MEAS:P:00016402	coverShrubsInPercentage	3	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111214085586	INBO:NICHE:MEAS:P:00016403	coverTreesInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111214085586	INBO:NICHE:MEAS:P:00016404	coverHerbsInPercentage	80	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111214242804	INBO:NICHE:MEAS:P:00016405	coverShrubsInPercentage	3	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111214242804	INBO:NICHE:MEAS:P:00016406	coverTreesInPercentage	70	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111214242804	INBO:NICHE:MEAS:P:00016408	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111214581114	INBO:NICHE:MEAS:P:00016409	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111215221189	INBO:NICHE:MEAS:P:00016411	coverShrubsInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111215221189	INBO:NICHE:MEAS:P:00016412	coverHerbsInPercentage	90	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111215415832	INBO:NICHE:MEAS:P:00016413	coverHerbsInPercentage	100	%	Percentage Pct-1-100	mossesIdentified:yes
IV2013111215585552	INBO:NICHE:MEAS:P:00016415	coverTreesInPercentage	50	%	Percentage Pct-1-100	mossesIdentified:yes
